
Processing PeakSearchReadable.cxx...
Looking in directory /w/work2/home/oliver/APEX/peaksearch/JWMaster
401 files in search directory
For mass 125.25 MeV, p-value is 0.595649
For mass 125.5 MeV, p-value is 0.203787
For mass 125.75 MeV, p-value is 0.00109769
For mass 125 MeV, p-value is 0.987257
For mass 126.25 MeV, p-value is 3.90035e-11
For mass 126.5 MeV, p-value is 0
For mass 126.75 MeV, p-value is 0
For mass 126 MeV, p-value is 3.23191e-08
For mass 127.25 MeV, p-value is 0
For mass 127.5 MeV, p-value is 0
For mass 127.75 MeV, p-value is 0
For mass 127 MeV, p-value is 0
For mass 128.25 MeV, p-value is 0
For mass 128.5 MeV, p-value is 0
For mass 128.75 MeV, p-value is 0
For mass 128 MeV, p-value is 0
For mass 129.25 MeV, p-value is 1.9757e-10
For mass 129.5 MeV, p-value is 6.77936e-07
For mass 129.75 MeV, p-value is 0.00111631
For mass 129 MeV, p-value is 1.35447e-14
For mass 130.25 MeV, p-value is 0.133755
For mass 130.5 MeV, p-value is 0.496262
For mass 130.75 MeV, p-value is 0.874155
For mass 130 MeV, p-value is 0.0348315
For mass 131.25 MeV, p-value is 0.988037
For mass 131.5 MeV, p-value is 0.999142
For mass 131.75 MeV, p-value is 0.999923
For mass 131 MeV, p-value is 0.963706
For mass 132.25 MeV, p-value is 0.999223
For mass 132.5 MeV, p-value is 0.998082
For mass 132.75 MeV, p-value is 0.998963
For mass 132 MeV, p-value is 0.999855
For mass 133.25 MeV, p-value is 0.994583
For mass 133.5 MeV, p-value is 0.986392
For mass 133.75 MeV, p-value is 0.886809
For mass 133 MeV, p-value is 0.996221
For mass 134.25 MeV, p-value is 0.718219
For mass 134.5 MeV, p-value is 0.571014
For mass 134.75 MeV, p-value is 0.569971
For mass 134 MeV, p-value is 0.825486
For mass 135.25 MeV, p-value is 0.603941
For mass 135.5 MeV, p-value is 0.703907
For mass 135.75 MeV, p-value is 0.736467
For mass 135 MeV, p-value is 0.528866
For mass 136.25 MeV, p-value is 0.879398
